Time,Rhip,,,Lhip,,,Lshoulder,,,HLelbow,,,Lelbow,,,Lhand,,,Rshoulder,,,HRelbow,,,Relbow,,,Rhand,,,Lfeet,,,Lknee,,,Lwaist,,,Rwaist,,,Rknee,,,Rfeet,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4.96667,-956.922,398.766,2237.55,-924.029,735.224,2240.74,-934.462,710.736,2719.63,-893.021,863.316,2691.81,-875.198,990.249,2687.61,-814.485,1160.8,2675.58,-973.585,420.356,2705.58,-941.707,268.935,2701.09,-966.92,160.115,2703.69,-994.161,51.8743,2691.81,-919.682,687.842,1372.64,-888.384,705.23,1782.85,-826.077,713.199,2234.8,-880.124,385.725,2221.32,-925.333,410.068,1752.28,-948.517,446.873,1389.59
5,-956.922,398.766,2237.26,-923.45,734.934,2240.45,-933.882,710.446,2719.05,-893.021,864.33,2691.81,-875.343,991.118,2688.05,-814.629,1161.67,2676.6,-973.73,420.501,2705.72,-941.707,268.935,2701.09,-965.471,160.405,2703.98,-993.436,52.4539,2691.96,-919.827,687.552,1372.5,-888.094,705.23,1783.29,-825.642,712.765,2234.65,-880.414,385.29,2221.32,-925.623,409.923,1752.28,-948.517,446.873,1389.59
5.03333,-957.211,398.766,2237.41,-923.015,734.789,2240.45,-932.288,710.011,2717.46,-893.165,865.055,2691.67,-875.488,991.842,2687.9,-814.629,1162.25,2676.89,-974.02,421.08,2706.01,-941.707,268.79,2701.09,-965.181,161.564,2703.84,-992.712,53.3233,2692.1,-919.827,687.552,1372.5,-887.659,704.94,1783.14,-825.207,712.33,2234.51,-880.559,385,2221.47,-925.768,409.633,1752.28,-948.662,446.728,1389.59
5.06667,-957.211,398.621,2237.41,-922.725,734.644,2240.16,-930.26,709.432,2715.43,-893.165,865.779,2691.23,-875.632,992.422,2687.61,-814.629,1162.82,2676.6,-974.454,421.95,2706.3,-941.707,268.79,2701.23,-963.297,161.564,2702.68,-992.277,53.758,2691.96,-919.682,687.697,1372.64,-887.514,704.795,1783.14,-824.917,712.04,2234.36,-880.559,384.855,2221.47,-925.768,409.633,1752.28,-948.662,446.728,1389.59
5.1,-956.777,398.621,2237.41,-922.725,734.644,2240.16,-928.376,708.997,2713.55,-893.021,866.359,2690.65,-875.488,993.147,2686.6,-814.34,1163.26,2675,-975.034,423.109,2706.88,-941.562,268.645,2701.38,-963.442,159.39,2701.81,-991.698,54.0478,2691.81,-919.827,687.407,1372.35,-887.514,704.795,1783,-824.917,712.185,2234.36,-880.124,384.855,2221.47,-925.623,409.633,1752.28,-948.662,446.728,1389.59
5.13333,-956.197,398.621,2237.41,-922.725,734.644,2240.16,-926.927,708.562,2712.1,-892.731,866.794,2689.78,-875.053,993.581,2685.29,-813.76,1163.69,2672.69,-975.614,424.558,2707.61,-941.562,268.645,2701.52,-963.877,159.825,2702.39,-990.828,54.4825,2691.52,-919.827,687.407,1372.5,-886.79,703.056,1779.81,-824.772,712.33,2234.22,-879.545,385,2221.32,-925.333,409.778,1752.28,-948.662,446.728,1389.59
5.16667,-955.473,398.621,2237.41,-922.725,734.934,2240.01,-926.492,708.418,2711.66,-892.296,867.228,2688.91,-874.328,993.871,2683.84,-812.891,1164.13,2669.79,-976.483,426.297,2708.48,-941.562,268.5,2701.67,-965.036,160.839,2703.84,-990.393,54.6274,2691.23,-919.827,687.552,1372.5,-883.167,709.867,1784.3,-824.772,712.765,2234.22,-878.82,385.29,2221.32,-924.754,409.923,1752.13,-948.517,446.728,1389.59
5.2,-954.748,398.766,2237.26,-922.58,734.934,2240.01,-927.507,708.707,2712.68,-891.716,867.373,2688.19,-873.459,994.161,2682.39,-812.021,1164.27,2666.89,-977.497,428.325,2709.49,-941.562,268.5,2701.67,-966.05,161.999,2705.14,-989.959,54.6274,2691.23,-919.827,687.552,1372.5,-883.457,708.852,1783.29,-824.772,713.054,2234.07,-877.951,385.58,2221.32,-924.319,410.213,1752.13,-948.517,446.873,1389.59
5.23333,-954.024,398.911,2237.26,-922.435,735.224,2239.87,-930.55,709.577,2715.72,-891.427,867.663,2687.32,-872.879,994.451,2681.09,-811.442,1164.42,2664.72,-978.512,430.499,2710.5,-941.562,268.5,2701.52,-966.195,163.013,2705.72,-989.959,54.9172,2691.38,-919.682,687.697,1372.64,-883.312,708.997,1783.29,-824.483,713.489,2234.07,-877.226,385.869,2221.32,-923.884,410.358,1752.13,-948.517,446.873,1389.74
5.26667,-953.154,399.2,2237.12,-922.145,735.369,2239.87,-937.505,711.316,2722.53,-891.137,867.808,2686.74,-872.445,994.596,2679.93,-810.717,1164.56,2662.98,-979.671,432.817,2711.66,-941.562,268.645,2701.52,-964.601,163.448,2705,-989.959,55.0621,2691.67,-919.827,687.552,1372.5,-882.877,709.142,1783.14,-824.193,713.779,2234.07,-876.502,386.159,2221.32,-923.45,410.503,1752.13,-948.372,446.873,1389.74
5.3,-952.864,399.345,2237.12,-921.711,735.514,2239.87,-936.491,711.895,2721.95,-890.847,868.098,2686.31,-872.155,994.741,2679.35,-810.138,1164.71,2662.11,-980.83,435.425,2712.97,-941.707,268.79,2701.23,-961.558,163.013,2702.68,-989.524,55.0621,2691.38,-919.827,687.407,1372.35,-882.588,709.287,1783.14,-823.758,714.069,2234.07,-876.067,386.304,2221.18,-923.015,410.792,1752.13,-948.372,447.017,1389.74
5.33333,-952.43,399.49,2237.12,-921.276,735.659,2239.87,-935.621,710.881,2720.79,-890.702,868.387,2686.16,-871.865,995.03,2679.21,-809.848,1164.85,2662.11,-982.134,438.178,2714.27,-941.707,268.935,2700.8,-961.124,162.868,2702.1,-989.669,55.207,2691.09,-919.827,687.552,1372.5,-882.153,709.287,1783.14,-823.323,714.069,2234.07,-875.632,386.304,2221.18,-922.725,410.792,1752.13,-948.372,447.017,1389.74
