Time,Rhip,,,Lhip,,,Lshoulder,,,HLelbow,,,Lelbow,,,Lhand,,,Rshoulder,,,HRelbow,,,Relbow,,,Rhand,,,Lfeet,,,Lknee,,,Lwaist,,,Rwaist,,,Rknee,,,Rfeet,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-777.245,405.286,2241.32,-736.673,743.339,2242.91,-733.195,718.126,2729.05,-684.364,871.43,2699.78,-670.743,1004.3,2694.71,-615.247,1177.89,2685.73,0,0,0,-784.2,274.441,2702.39,0,0,0,-857.52,73.0297,2670.22,-716.387,693.783,1371.34,-705.954,712.475,1781.4,-640.894,720.879,2233.78,-698.419,390.506,2224.94,-727.979,405.866,1751.84,-746.237,434.701,1389.01
0.0333333,-778.259,406.011,2241.32,-734.644,743.773,2242.62,0,0,0,-681.466,871.72,2698.48,-666.396,1004.59,2691.96,-609.306,1177.6,2681.09,0,0,0,0,0,0,0,0,0,-860.418,74.0441,2669.93,-716.097,693.638,1371.34,-704.36,712.185,1781.11,-639.155,720.154,2233.49,-699.579,390.651,2224.94,-728.559,406.011,1751.84,-746.526,434.701,1389.01
0.0666667,-778.984,406.735,2241.17,-732.471,744.063,2242.04,0,0,0,-678.568,871.865,2697.03,-662.339,1004.3,2689.49,-603.075,1176.74,2676.89,0,0,0,0,0,0,0,0,0,-863.896,75.0583,2669.35,-715.663,693.493,1371.34,-702.766,712.185,1781.11,-637.561,719.72,2233.35,-700.593,390.651,2224.94,-728.993,406.011,1751.84,-746.671,434.701,1389.01
0.1,-779.564,407.025,2241.03,-731.167,744.208,2241.75,-730.153,720.444,2725.86,-675.815,871.72,2695.87,-658.137,1004.01,2687.47,-596.699,1175.87,2673.7,0,0,0,0,0,0,0,0,0,-868.098,76.0727,2669.06,-715.373,693.638,1371.34,-701.317,712.185,1780.82,-636.402,719.285,2233.2,-701.172,390.506,2224.94,-729.283,406.156,1751.84,-746.671,434.991,1389.01
0.133333,-779.708,406.88,2241.03,-730.297,743.918,2241.61,-729.863,719.285,2726.73,-673.062,871.43,2695,-654.225,1003.58,2686.16,-590.903,1174.56,2671.96,0,0,0,0,0,0,0,0,0,-872.3,77.3768,2668.92,-715.228,693.638,1371.34,-700.883,711.895,1780.82,-635.678,718.995,2233.2,-701.462,390.072,2224.8,-729.863,406.156,1751.84,-746.816,434.991,1389.01
0.166667,-779.853,406.59,2240.88,-729.718,743.628,2241.46,-728.559,719.43,2726.44,-670.309,871.141,2694.57,-650.602,1003.14,2685.58,-585.832,1173.55,2671.24,0,0,0,-797.386,277.194,2701.81,-838.973,182.285,2691.52,-876.067,78.6809,2668.77,-715.228,693.493,1371.34,-700.883,711.46,1780.82,-635.098,718.271,2233.06,-701.607,389.637,2224.8,-730.442,406.011,1751.84,-746.816,434.846,1389.01
0.2,-780.288,406.3,2240.88,-729.428,743.049,2241.46,-726.82,719.43,2726.15,-667.845,870.851,2694.28,-647.125,1002.71,2685.58,-581.63,1172.82,2671.24,0,0,0,0,0,0,-841.291,183.154,2692.1,-879.545,80.1299,2668.92,-715.228,693.348,1371.34,-700.883,710.881,1780.82,-634.953,717.546,2232.91,-702.187,388.912,2224.94,-731.022,405.576,1751.84,-747.106,434.701,1389.01
0.233333,-781.013,405.721,2241.03,-729.283,742.324,2241.46,-725.226,719.72,2725.86,-665.527,870.416,2694.28,-644.227,1002.28,2685.87,-578.152,1172.39,2671.67,0,0,0,0,0,0,0,0,0,-882.298,81.2891,2669.35,-715.083,693.203,1371.48,-700.883,710.446,1780.97,-634.808,716.677,2232.91,-703.056,388.188,2224.94,-731.891,405.141,1751.84,-747.251,434.556,1389.01
0.266667,-782.027,404.996,2241.32,-728.704,741.6,2241.46,0,0,0,-663.643,869.836,2694.42,-642.053,1001.84,2686.02,-575.544,1171.66,2672.11,0,0,0,0,0,0,0,0,0,-884.326,82.0136,2669.93,-715.083,693.203,1371.48,-701.028,709.867,1780.97,-634.373,715.663,2232.77,-704.07,387.463,2224.94,-732.761,404.851,1751.84,-747.541,434.411,1388.87
0.3,-782.896,404.562,2241.46,-727.979,741.02,2241.46,0,0,0,-662.194,869.257,2694.42,-640.459,1001.26,2686.31,-573.66,1170.94,2672.54,0,0,0,-799.705,277.339,2703.11,0,0,0,-885.776,82.3034,2670.51,-715.083,693.058,1371.63,-701.028,709.432,1780.97,-633.939,714.793,2232.62,-704.94,386.739,2224.94,-733.92,404.417,1751.99,-747.83,434.121,1389.01
0.333333,-783.621,404.272,2241.46,-727.544,740.44,2241.61,0,0,0,-661.18,868.677,2694.28,-639.155,1000.54,2686.31,-572.211,1170.21,2672.69,0,0,0,0,0,0,0,0,0,-886.5,82.0136,2671.38,-715.228,693.058,1371.63,-701.172,708.852,1780.97,-633.504,713.924,2232.48,-705.809,386.014,2224.94,-735.079,404.417,1751.99,-748.12,433.976,1388.87
0.366667,-784.2,403.837,2241.46,-726.965,740.006,2241.61,-716.822,720.154,2725.72,-660.311,867.808,2694.13,-638.431,999.667,2686.16,-571.197,1169.35,2672.25,0,0,0,-799.27,276.325,2703.84,-845.783,183.734,2695.15,-886.355,81.5789,2672.54,-715.083,692.913,1371.63,-701.172,708.418,1780.97,-633.069,713.199,2232.48,-706.389,385.58,2224.8,-735.804,404.127,1751.99,-748.41,433.831,1388.87
0.4,-784.635,403.547,2241.46,-726.82,739.426,2241.46,0,0,0,-659.441,866.794,2694.28,-637.561,998.798,2686.16,-570.617,1168.62,2671.67,0,0,0,-798.256,275.6,2704.13,0,0,0,-885.341,80.5646,2673.84,-715.228,692.913,1371.77,-700.883,707.983,1780.97,-632.924,712.475,2232.48,-706.969,385.145,2224.8,-735.804,403.837,1751.84,-748.7,433.687,1388.87
