Time,Rhip,,,Lhip,,,Lshoulder,,,HLelbow,,,Lelbow,,,Lhand,,,Rshoulder,,,HRelbow,,,Relbow,,,Rhand,,,Lfeet,,,Lknee,,,Lwaist,,,Rwaist,,,Rknee,,,Rfeet,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-418.037,386.159,2231.32,-405.141,722.908,2232.19,0,0,0,-388.623,850.275,2668.19,-373.263,976.628,2652.54,-318.926,1151.81,2628.78,-441.221,419.341,2692.25,-432.527,241.114,2665.3,0,0,0,-498.747,36.2251,2608.78,-402.388,638.286,1368.87,-370.8,682.48,1774.01,-305.595,707.258,2233.64,-338.487,378.19,2221.18,-395.433,395.433,1746.34,-448.901,427.746,1384.52
0.0333333,-417.458,386.304,2231.32,-404.707,723.197,2232.19,-431.078,693.927,2707.32,-386.014,850.855,2667.76,-369.641,976.918,2651.82,-313.709,1151.67,2627.77,-441.221,419.341,2692.25,-434.411,241.983,2665.73,0,0,0,-502.659,37.5292,2609.65,-402.388,638.431,1368.87,-370.655,682.625,1774.3,-305.015,707.258,2233.78,-338.052,378.335,2221.18,-395.433,395.578,1746.34,-449.046,427.891,1384.52
0.0666667,-417.023,386.594,2231.46,-404.127,723.487,2232.19,0,0,0,-383.406,851.434,2667.32,-366.018,977.352,2651.1,-308.927,1151.52,2626.75,-441.221,419.341,2692.1,-436.005,242.708,2666.02,0,0,0,-506.282,38.9782,2610.38,-402.388,638.431,1368.87,-371.524,686.393,1774.45,-304.436,707.403,2233.78,-337.618,378.624,2221.32,-395.723,395.433,1746.48,-449.336,427.601,1384.67
0.1,-416.878,387.174,2231.61,-402.823,723.922,2232.04,0,0,0,-380.798,851.869,2666.89,-362.83,977.787,2650.37,-304.725,1151.52,2625.74,-441.366,419.341,2691.96,-437.454,243.577,2666.46,0,0,0,-509.325,40.2823,2611.25,-402.533,638.576,1368.87,-373.263,688.421,1774.59,-303.131,707.693,2233.49,-337.473,378.914,2221.32,-396.157,395.288,1746.63,-449.626,427.456,1384.67
0.133333,-416.733,387.463,2231.75,-401.374,724.212,2232.04,-427.601,695.956,2707.9,-378.335,852.448,2666.6,-359.787,978.077,2649.79,-301.248,1151.81,2624.87,-441.511,419.341,2691.81,-438.613,244.302,2666.89,0,0,0,-511.933,41.5864,2611.97,-402.678,638.576,1368.73,-374.422,688.276,1774.74,-301.682,707.548,2233.35,-337.328,378.914,2221.32,-396.447,395.288,1746.77,-449.626,427.456,1384.67
0.166667,-416.443,387.463,2231.9,-400.215,724.212,2232.19,0,0,0,-375.726,853.028,2666.46,-357.034,978.657,2649.5,-297.915,1152.25,2624,-441.656,419.341,2691.67,-441.656,245.026,2667.47,0,0,0,-513.961,42.7456,2612.55,-402.823,638.72,1368.73,-375.002,688.131,1774.88,-300.378,707.403,2233.2,-337.183,378.914,2221.32,-396.882,395.288,1746.77,-449.771,427.456,1384.67
0.2,-416.154,387.463,2231.9,-399.345,724.212,2232.04,-420.211,697.55,2708.04,-372.973,853.608,2666.17,-354.136,979.236,2649.21,-295.017,1152.83,2623.27,-441.946,419.341,2691.38,-444.844,246.62,2667.61,-479.33,146.349,2646.6,-515.265,44.0497,2612.99,-402.968,638.865,1368.73,-375.147,688.131,1774.88,-299.654,707.258,2232.91,-336.893,378.769,2221.32,-397.172,395.288,1746.92,-449.771,427.456,1384.81
0.233333,-415.864,387.318,2232.04,-398.041,724.067,2232.04,0,0,0,-370.51,854.332,2666.02,-351.528,979.816,2648.78,-292.119,1153.41,2622.7,-442.091,419.341,2691.23,-444.264,248.939,2667.76,-477.157,146.349,2646.75,-515.845,45.2089,2613.13,-402.823,638.72,1368.73,-375.002,687.842,1774.88,-298.495,707.113,2232.77,-336.458,378.48,2221.32,-397.462,395.143,1747.06,-449.771,427.311,1384.81
0.266667,-415.139,387.318,2232.19,-396.592,723.922,2231.9,-420.356,700.158,2707.9,-368.337,855.057,2665.73,-349.21,980.54,2648.34,-289.511,1153.99,2621.97,-442.381,419.197,2690.94,-444.554,249.808,2668.77,0,0,0,-515.845,46.0783,2613.13,-402.968,638.72,1368.73,-375.002,687.697,1774.88,-296.901,706.969,2232.62,-335.879,378.19,2221.32,-397.606,395.143,1747.06,-449.771,427.311,1384.81
0.3,-414.125,387.174,2232.33,-394.998,723.922,2231.75,0,0,0,-366.308,855.636,2665.44,-347.036,981.12,2647.91,-286.903,1154.28,2621.25,-442.67,419.197,2690.65,-441.511,245.171,2669.79,0,0,0,-515.265,46.9477,2612.99,-402.823,638.576,1368.73,-374.567,687.262,1774.74,-295.452,706.824,2232.48,-334.865,377.9,2221.32,-397.317,395.143,1747.06,-449.626,427.456,1384.81
0.333333,-412.966,387.174,2232.19,-393.404,723.777,2231.61,-414.27,700.738,2706.74,-364.569,856.216,2665.3,-345.008,981.555,2647.62,-284.439,1154.71,2620.67,-442.96,419.197,2690.22,-441.801,250.098,2667.47,0,0,0,-514.251,47.3824,2612.99,-402.678,638.576,1368.73,-374.133,687.117,1774.74,-293.858,706.534,2232.19,-333.705,377.755,2221.03,-396.737,395.288,1746.92,-449.336,427.601,1384.81
0.366667,-411.372,387.174,2232.04,-391.81,723.777,2231.46,-412.531,701.317,2706.59,-362.541,856.506,2665.01,-342.979,981.989,2647.33,-282.266,1155,2620.38,-443.25,419.197,2689.93,-439.627,250.243,2667.47,0,0,0,-512.802,47.6722,2613.13,-402.678,638.431,1368.73,-373.698,686.827,1774.74,-292.119,706.534,2231.9,-332.256,377.755,2220.74,-395.433,395.433,1746.77,-448.901,427.891,1384.81
