Frame number,874
First frame,1
Point frequency,30
Analog frequency,30

Time,M000,,,M001,,,M002,,,M003,,,M004,,,M005,,,M006,,,M007,,,M008,,,M009,,,M010,,,M011,,,M012,,,M013,,,M014,,,M015,,,M016,,,M017,,,M018,,,M019,,,M020,,,M021,,,M022,,,M023,,,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,,M031,,,M032,,,M033,,,M034,,,M035,,,M036,,,M037,,,M038,,,M039,,,M040,,,M041,,,M042,,,M043,,,M044,,,M045,,,M046,,,M047,,,M048,,,M049,,,M050,,,M051,,,M052,,,M053,,,M054,,,M055,,,M056,,,M057,,,M058,,,M059,,,M060,,,M061,,,M062,,,M063,,,M064,,,M065,,,M066,,,M067,,,M068,,,M069,,,M070,,,M071,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-277.049,498.167,2547.2,-227.783,567.14,2392.01,-524.104,658.137,2611.1,-510.774,620.753,2451.57,-418.037,386.159,2231.32,-405.141,722.908,2232.19,-536.276,470.926,2613.71,0,0,0,0,0,0,-388.623,850.275,2668.19,-373.263,976.628,2652.54,-391.521,1067.48,2630.09,-318.926,1151.81,2628.78,0,0,0,0,0,0,0,0,0,-441.221,419.341,2692.25,-432.527,241.114,2665.3,0,0,0,-498.747,36.2251,2608.78,-456.581,-41.1517,2627.33,0,0,0,-386.159,101.575,2537.35,0,0,0,-402.388,638.286,1368.87,-411.807,683.205,1579.12,0,0,0,0,0,0,-370.8,682.48,1774.01,-359.063,698.999,1879.21,-305.595,707.258,2233.64,0,0,0,-338.487,378.19,2221.18,-427.166,381.233,1624.19,-395.433,395.433,1746.34,-403.837,401.374,1581.88,0,0,0,0,0,0,-448.901,427.746,1384.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-276.904,498.022,2547.06,-227.204,567.14,2392.01,-522.8,659.296,2611.1,-510.049,621.767,2451.42,-417.458,386.304,2231.32,-404.707,723.197,2232.19,-535.986,472.375,2613.71,0,0,0,-431.078,693.927,2707.32,-386.014,850.855,2667.76,-369.641,976.918,2651.82,-387.029,1068.06,2629.51,-313.709,1151.67,2627.77,0,0,0,0,0,0,0,0,0,-441.221,419.341,2692.25,-434.411,241.983,2665.73,0,0,0,-502.659,37.5292,2609.65,-461.218,-40.2823,2628.35,0,0,0,-389.782,100.416,2536.33,0,0,0,-402.388,638.431,1368.87,-411.372,683.35,1579.12,0,0,0,0,0,0,-370.655,682.625,1774.3,-359.208,699.434,1879.36,-305.015,707.258,2233.78,0,0,0,-338.052,378.335,2221.18,-427.166,381.233,1624.33,-395.433,395.578,1746.34,-403.982,401.519,1581.88,0,0,0,0,0,0,-449.046,427.891,1384.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-276.47,497.877,2547.06,-226.334,566.85,2391.87,-521.496,660.311,2611.25,-509.469,622.637,2451.57,-417.023,386.594,2231.46,-404.127,723.487,2232.19,-535.696,473.679,2613.71,0,0,0,0,0,0,-383.406,851.434,2667.32,-366.018,977.352,2651.1,-382.971,1068.35,2628.64,-308.927,1151.52,2626.75,0,0,0,0,0,0,0,0,0,-441.221,419.341,2692.1,-436.005,242.708,2666.02,0,0,0,-506.282,38.9782,2610.38,-465.42,-39.4129,2629.51,0,0,0,-399.055,97.2281,2533.73,0,0,0,-402.388,638.431,1368.87,-411.372,683.495,1579.27,0,0,0,0,0,0,-371.524,686.393,1774.45,-359.643,699.724,1879.5,-304.436,707.403,2233.78,0,0,0,-337.618,378.624,2221.32,-427.601,381.233,1624.48,-395.723,395.433,1746.48,-404.272,401.229,1582.02,0,0,0,0,0,0,-449.336,427.601,1384.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-275.89,497.733,2546.91,-225.465,566.705,2391.58,-519.902,661.47,2611.1,-508.31,623.506,2451.57,-416.878,387.174,2231.61,-402.823,723.922,2232.04,-535.117,474.983,2613.86,0,0,0,0,0,0,-380.798,851.869,2666.89,-362.83,977.787,2650.37,-379.204,1069.07,2627.91,-304.725,1151.52,2625.74,0,0,0,0,0,0,0,0,0,-441.366,419.341,2691.96,-437.454,243.577,2666.46,0,0,0,-509.325,40.2823,2611.25,-469.332,-38.3986,2630.52,0,0,0,-411.082,93.026,2530.25,0,0,0,-402.533,638.576,1368.87,-412.096,683.495,1579.27,0,0,0,0,0,0,-373.263,688.421,1774.59,-360.657,700.013,1879.5,-303.131,707.693,2233.49,0,0,0,-337.473,378.914,2221.32,-428.18,381.233,1624.62,-396.157,395.288,1746.63,-404.851,401.084,1582.17,0,0,0,0,0,0,-449.626,427.456,1384.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-275.166,497.588,2546.91,-224.595,566.27,2391.43,-518.308,662.484,2611.1,-507.151,624.52,2451.57,-416.733,387.463,2231.75,-401.374,724.212,2232.04,-534.537,476.142,2613.86,0,0,0,-427.601,695.956,2707.9,-378.335,852.448,2666.6,-359.787,978.077,2649.79,-375.871,1069.51,2627.33,-301.248,1151.81,2624.87,0,0,0,0,0,0,0,0,0,-441.511,419.341,2691.81,-438.613,244.302,2666.89,0,0,0,-511.933,41.5864,2611.97,-472.375,-37.5292,2631.53,0,0,0,-423.254,88.8239,2526.77,0,0,0,-402.678,638.576,1368.73,-412.966,683.495,1579.41,0,0,0,0,0,0,-374.422,688.276,1774.74,-361.381,700.013,1879.5,-301.682,707.548,2233.35,0,0,0,-337.328,378.914,2221.32,-428.47,381.378,1624.62,-396.447,395.288,1746.77,-405.141,401.084,1582.17,0,0,0,0,0,0,-449.626,427.456,1384.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-274.296,497.588,2546.91,-223.581,565.836,2391.29,-516.425,663.643,2611.25,-505.702,625.535,2451.71,-416.443,387.463,2231.9,-400.215,724.212,2232.19,-533.523,477.736,2614.15,0,0,0,0,0,0,-375.726,853.028,2666.46,-357.034,978.657,2649.5,-372.973,1070.09,2626.75,-297.915,1152.25,2624,0,0,0,0,0,0,0,0,0,-441.656,419.341,2691.67,-441.656,245.026,2667.47,0,0,0,-513.961,42.7456,2612.55,-474.838,-36.37,2632.11,0,0,0,-433.107,85.4912,2524.02,0,0,0,-402.823,638.72,1368.73,-413.401,683.64,1579.41,0,0,0,0,0,0,-375.002,688.131,1774.88,-361.671,699.868,1879.65,-300.378,707.403,2233.2,0,0,0,-337.183,378.914,2221.32,-428.905,381.522,1624.77,-396.882,395.288,1746.77,-405.431,401.084,1582.31,0,0,0,0,0,0,-449.771,427.456,1384.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-273.282,497.588,2546.91,-222.567,565.546,2391,-514.396,664.803,2611.54,-504.398,626.404,2451.86,-416.154,387.463,2231.9,-399.345,724.212,2232.04,-532.509,479.04,2614.44,0,0,0,-420.211,697.55,2708.04,-372.973,853.608,2666.17,-354.136,979.236,2649.21,-369.93,1070.81,2626.32,-295.017,1152.83,2623.27,0,0,0,0,0,0,0,0,0,-441.946,419.341,2691.38,-444.844,246.62,2667.61,-479.33,146.349,2646.6,-515.265,44.0497,2612.99,-476.722,-35.3557,2632.55,0,0,0,-437.889,83.7524,2522.57,0,0,0,-402.968,638.865,1368.73,-413.69,683.64,1579.41,0,0,0,0,0,0,-375.147,688.131,1774.88,-361.671,699.868,1879.5,-299.654,707.258,2232.91,0,0,0,-336.893,378.769,2221.32,-429.195,381.378,1624.91,-397.172,395.288,1746.92,-405.721,400.794,1582.31,0,0,0,0,0,0,-449.771,427.456,1384.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.233333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-272.123,497.733,2546.91,-221.553,565.401,2390.71,-512.512,665.962,2611.54,-503.094,627.128,2451.86,-415.864,387.318,2232.04,-398.041,724.067,2232.04,-531.639,480.2,2614.73,0,0,0,0,0,0,-370.51,854.332,2666.02,-351.528,979.816,2648.78,-367.467,1071.25,2626.03,-292.119,1153.41,2622.7,0,0,0,0,0,0,0,0,0,-442.091,419.341,2691.23,-444.264,248.939,2667.76,-477.157,146.349,2646.75,-515.845,45.2089,2613.13,-477.736,-34.4863,2632.84,0,0,0,-434.846,84.7667,2523.44,0,0,0,-402.823,638.72,1368.73,-413.401,683.495,1579.41,0,0,0,0,0,0,-375.002,687.842,1774.88,-361.381,699.579,1879.5,-298.495,707.113,2232.77,0,0,0,-336.458,378.48,2221.32,-429.629,381.378,1625.35,-397.462,395.143,1747.06,-405.866,400.649,1582.46,0,0,0,0,0,0,-449.771,427.311,1384.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
