Time,Rhip,,,Lhip,,,Lshoulder,,,HLelbow,,,Lelbow,,,Lhand,,,Rshoulder,,,HRelbow,,,Relbow,,,Rhand,,,Lfeet,,,Lknee,,,Lwaist,,,Rwaist,,,Rknee,,,Rfeet,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-790.431,387.029,2239.29,-790.141,727.11,2242.48,0,0,0,-797.241,831.293,2750.64,-824.772,951.705,2785.27,-830.568,1127.61,2824.4,-783.766,379.059,2700.36,-789.417,295.307,2752.09,-826.656,201.122,2783.97,-864.185,95.4893,2801.79,-786.519,676.25,1371.05,-756.38,701.462,1780.97,-693.638,714.214,2234.36,-711.171,382.537,2222.19,-753.916,410.068,1746.19,-790.141,443.685,1387.42
0.0333333,-790.286,387.174,2239.43,-789.852,727.255,2242.77,-801.444,675.38,2738.47,-797.821,830.134,2752.38,-826.221,950.111,2787.88,-833.901,1125.59,2828.45,-783.911,379.059,2700.36,-792.315,295.162,2751.8,-827.526,201.846,2784.69,-865.924,97.373,2803.97,-786.519,676.25,1371.05,-756.38,701.462,1780.97,-693.203,714.503,2234.36,-711.026,382.537,2222.19,-753.916,410.068,1746.19,-790.141,443.685,1387.42
0.0666667,-789.996,387.463,2239.58,-789.417,727.544,2242.91,-801.444,674.656,2738.76,-798.835,828.25,2754.55,-827.96,947.793,2791.79,-838.828,1122.83,2833.96,-784.055,379.204,2700.36,-791.735,295.162,2752.82,-829.554,203.875,2786.29,-868.967,99.9812,2806.72,-786.519,676.25,1371.05,-755.945,701.607,1780.97,-692.768,714.503,2234.8,-710.736,382.827,2222.34,-753.626,410.213,1746.34,-790.141,443.685,1387.42
0.1,-789.417,387.608,2239.58,-789.127,727.834,2243.06,0,0,0,-799.705,827.381,2755.57,-829.264,946.489,2793.68,-842.161,1121.24,2836.86,-784.49,379.349,2700.36,-787.823,295.741,2756,-831.148,204.309,2786,-870.851,100.851,2807.44,-786.519,676.25,1371.05,-755.51,701.752,1780.97,-692.623,714.793,2234.8,-710.156,383.116,2222.34,-753.047,410.213,1746.19,-790.141,443.685,1387.42
0.133333,-788.837,387.753,2239.43,-789.272,727.979,2242.91,0,0,0,-800.139,827.381,2755.42,-829.989,946.634,2793.53,-843.754,1121.24,2836.71,-785.07,379.784,2700.36,-788.113,295.597,2755.71,-831.873,202.571,2783.39,-872.445,100.126,2805.12,-786.519,676.395,1371.05,-755.22,701.897,1780.97,-692.623,715.228,2234.94,-709.432,383.551,2222.34,-752.467,410.503,1746.19,-789.996,443.685,1387.57
0.166667,-788.113,388.043,2239.14,-789.272,728.124,2242.62,-803.037,674.221,2738.76,-801.009,828.105,2754.26,-830.713,947.503,2791.5,-843.899,1122.4,2833.53,-785.939,380.363,2700.36,-797.966,293.568,2747.74,-832.162,200.542,2780.64,-873.169,97.8077,2800.05,-786.374,676.25,1370.9,-755.075,702.042,1780.82,-692.623,715.518,2234.8,-708.852,383.841,2222.19,-752.033,410.792,1746.19,-789.996,443.83,1387.42
0.2,-787.388,388.188,2238.85,-789.417,728.269,2242.48,0,0,0,-801.299,829.264,2752.38,-830.568,949.242,2788.17,-842.885,1125.01,2827.58,-786.953,380.943,2700.36,-796.807,291.539,2744.56,-832.017,199.383,2779.19,-873.024,94.475,2793.1,-786.519,676.395,1370.9,-754.931,702.622,1781.11,-692.623,716.242,2234.65,-708.128,384.131,2222.05,-751.308,411.082,1746.19,-789.852,443.83,1387.42
0.233333,-786.953,388.478,2238.71,-789.707,728.414,2242.19,0,0,0,-801.299,831.148,2749.19,-829.989,951.995,2782.96,-841.146,1128.19,2819.47,-788.113,381.667,2700.22,-794.343,289.221,2743.25,-831.148,193.297,2771.22,-872.01,90.2729,2784.55,-786.374,676.395,1370.9,-754.931,702.332,1780.53,-693.058,716.387,2234.51,-707.548,384.71,2221.9,-751.018,411.372,1745.9,-789.852,443.83,1387.42
0.266667,-786.519,388.767,2238.42,-789.996,728.559,2241.9,0,0,0,-800.864,833.177,2745.43,-829.554,954.748,2776.58,-838.973,1131.96,2809.33,-789.417,382.537,2700.22,-793.764,287.337,2741.66,-829.989,185.617,2760.93,-870.851,85.4912,2774.55,-786.374,676.395,1370.9,-754.931,702.477,1780.53,-693.203,716.967,2234.22,-707.258,385,2221.76,-750.439,411.517,1746.05,-789.852,443.974,1387.42
0.3,-786.374,389.057,2238.13,-790.141,728.848,2241.46,0,0,0,-799.995,835.64,2740.93,-828.54,958.226,2768.9,-836.509,1136.31,2797.01,-790.866,383.551,2700.22,-792.605,285.019,2738.62,-829.554,183.009,2757.31,-869.112,80.2748,2762.81,-786.374,676.395,1370.9,-754.931,702.766,1780.39,-693.493,717.401,2234.07,-706.969,385.29,2221.61,-750.294,411.807,1746.05,-789.852,443.974,1387.42
0.333333,-786.519,389.492,2237.84,-790.286,729.138,2241.17,-804.776,678.858,2734.56,-799.125,838.103,2736.3,-827.67,961.703,2759.92,-833.611,1141.09,2782.67,-792.605,384.565,2700.22,-791.011,281.396,2733.69,-832.162,184.313,2747.45,-867.373,74.9135,2749.77,-786.519,676.539,1370.9,-754.786,703.056,1780.39,-693.638,717.836,2233.93,-707.113,385.725,2221.32,-750.294,411.952,1746.05,-789.852,443.974,1387.42
0.366667,-786.809,389.927,2237.55,-790.431,729.573,2241.03,-805.066,680.597,2734.12,-798.98,840.856,2731.37,-827.526,965.181,2750.64,-831.438,1145.58,2767.45,-794.343,385.725,2700.22,-789.417,277.049,2727.46,-828.25,176.054,2738.91,-865.489,69.8419,2736.3,-786.374,676.539,1370.9,-754.786,703.201,1780.39,-693.783,718.271,2233.78,-707.258,386.014,2221.32,-750.294,412.386,1746.05,-789.852,444.119,1387.42
