Time,Rhip,,,Lhip,,,Lshoulder,,,HLelbow,,,Lelbow,,,Lhand,,,Rshoulder,,,HRelbow,,,Relbow,,,Rhand,,,Lfeet,,,Lknee,,,Lwaist,,,Rwaist,,,Rknee,,,Rfeet,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4.96667,-742.759,400.07,2230.6,-760.871,738.122,2237.41,-777.1,706.099,2717.75,-736.818,868.098,2680.8,-736.238,996.334,2673.56,-691.754,1171.08,2655.59,-781.302,447.162,2709.06,-720.879,249.084,2673.7,0,0,0,-769.565,45.2089,2618.2,-721.603,675.525,1371.05,-705.375,707.693,1777.93,-660.456,727.834,2234.22,-663.209,398.041,2217.84,-708.997,416.733,1745.9,-759.278,446.003,1387.28
5,-742.614,400.07,2230.45,-760.727,738.267,2237.55,0,0,0,-736.238,867.953,2680.8,-735.949,996.19,2673.56,-692.044,1170.94,2655.44,-781.013,447.162,2708.91,-721.169,248.649,2673.7,0,0,0,-770.725,45.2089,2617.91,-721.603,675.67,1371.05,-705.52,707.693,1777.93,-660.311,727.834,2234.22,-663.064,398.041,2217.84,-709.142,416.733,1745.9,-759.133,446.003,1387.42
5.03333,-742.469,400.07,2230.45,-760.437,738.267,2237.55,-770.145,707.258,2713.26,-735.514,867.663,2680.95,-735.514,996.045,2673.7,-692.044,1171.08,2655.3,-780.723,447.017,2708.91,0,0,0,-745.512,152.145,2655.88,-771.884,45.2089,2617.77,-721.748,675.67,1371.05,-705.52,707.838,1777.93,-660.021,727.834,2234.07,-662.919,397.896,2217.7,-709.142,416.733,1745.9,-759.278,446.003,1387.28
5.06667,-742.324,400.07,2230.45,-760.147,738.267,2237.55,-770.145,705.954,2714.56,-734.934,867.663,2681.09,-734.934,995.9,2673.85,-691.754,1171.08,2655.15,-780.433,447.017,2708.77,-723.052,248.939,2673.85,-752.322,150.262,2654.86,-772.898,45.2089,2617.62,-721.748,675.67,1371.05,-705.375,707.838,1777.93,-659.731,727.979,2234.07,-662.774,397.896,2217.55,-708.997,416.733,1745.9,-759.133,446.003,1387.42
5.1,-742.179,400.07,2230.45,-759.712,738.412,2237.55,-769.131,705.52,2714.85,-734.065,867.518,2681.24,-734.21,995.9,2673.99,-691.174,1170.94,2655.3,-780.288,446.873,2708.77,-723.632,248.359,2673.99,-753.047,150.262,2654.72,-773.623,45.2089,2617.48,-721.603,675.67,1371.05,-705.23,707.838,1777.93,-659.296,727.979,2234.07,-662.629,397.751,2217.7,-709.142,416.733,1745.9,-759.278,446.003,1387.42
5.13333,-742.034,400.07,2230.45,-758.988,738.557,2237.55,0,0,0,-733.34,867.373,2681.24,-733.195,995.755,2674.13,-690.16,1170.94,2655.44,-780.288,446.873,2708.62,-723.922,248.214,2673.85,0,0,0,-774.347,45.3538,2617.33,-721.603,675.67,1371.05,-705.085,707.838,1777.93,-658.717,727.979,2234.07,-662.629,397.606,2217.55,-709.142,416.733,1745.9,-759.278,446.003,1387.42
5.16667,-741.889,400.215,2230.45,-758.408,738.557,2237.55,0,0,0,-732.616,867.373,2681.38,-732.181,995.755,2674.28,-688.711,1170.65,2655.88,-780.433,446.873,2708.48,0,0,0,0,0,0,-774.782,45.064,2617.62,-721.603,675.67,1371.05,-704.795,707.838,1777.93,-657.992,727.834,2234.07,-662.339,397.606,2217.41,-709.142,416.733,1745.9,-759.133,446.003,1387.42
5.2,-741.6,400.215,2230.31,-757.829,738.702,2237.7,0,0,0,-731.602,867.228,2681.52,-731.022,995.465,2674.57,-686.827,1170.36,2656.46,-780.578,446.873,2708.48,-723.922,247.49,2673.56,0,0,0,-775.072,45.064,2617.91,-721.603,675.67,1371.05,-704.505,707.983,1777.93,-657.413,727.979,2234.07,-662.194,397.462,2217.41,-709.142,416.733,1745.9,-759.278,446.003,1387.42
5.23333,-741.31,400.215,2230.31,-757.249,738.847,2237.55,-770,705.954,2716.59,-730.587,867.083,2681.67,-729.573,995.32,2674.86,-684.799,1170.07,2657.04,-780.723,446.873,2708.33,0,0,0,0,0,0,-775.361,44.7742,2618.35,-721.603,675.815,1371.05,-704.071,707.983,1777.93,-656.833,727.979,2234.07,-661.905,397.462,2217.26,-708.852,416.733,1745.9,-759.278,446.003,1387.42
5.26667,-741.02,400.215,2230.31,-756.669,738.847,2237.7,-769.565,705.954,2716.59,-729.573,866.794,2681.81,-728.124,995.03,2675.15,-682.625,1169.64,2657.62,-780.723,446.728,2708.19,-725.371,246.765,2674.28,0,0,0,-775.506,44.6293,2618.64,-721.603,675.67,1371.05,-703.636,707.983,1777.78,-656.109,727.979,2234.07,-661.47,397.317,2217.26,-708.852,416.733,1745.9,-759.278,446.003,1387.42
5.3,-740.585,400.36,2230.16,-755.8,738.991,2237.55,-768.986,705.664,2716.59,-728.704,866.649,2681.96,-726.675,994.741,2675.44,-680.307,1169.2,2658.2,-780.723,446.728,2708.04,-725.516,246.765,2674.42,0,0,0,-775.506,44.4844,2619.07,-721.603,675.67,1371.05,-703.201,707.983,1777.78,-655.384,727.979,2234.07,-661.18,396.882,2217.12,-708.707,416.733,1745.9,-759.133,446.003,1387.42
5.33333,-740.296,400.36,2230.16,-755.075,739.136,2237.55,-768.406,705.664,2716.59,-727.544,866.359,2682.1,-725.226,994.451,2675.73,-677.988,1168.91,2658.92,-780.723,446.583,2708.04,-725.516,246.765,2674.42,0,0,0,-775.361,44.1946,2619.36,-721.603,675.815,1371.05,-702.766,707.983,1777.78,-654.66,727.834,2234.07,-660.89,397.027,2217.12,-708.418,416.733,1745.76,-759.133,446.003,1387.42
