Time,Rhip,,,Lhip,,,Lshoulder,,,HLelbow,,,Lelbow,,,Lhand,,,Rshoulder,,,HRelbow,,,Relbow,,,Rhand,,,Lfeet,,,Lknee,,,Lwaist,,,Rwaist,,,Rknee,,,Rfeet,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4.96667,-766.523,432.093,2232.04,-760.147,769.855,2239.87,-764.059,730.297,2718.18,-729.428,886.935,2681.81,-717.112,1016.91,2670.37,-669.439,1192.09,2646.6,0,0,0,-734.355,278.064,2679.06,-758.843,175.474,2668.05,-780.578,67.8133,2637.91,-735.514,697.55,1370.76,-711.75,731.167,1774.16,-661.76,753.626,2234.07,-687.552,424.993,2217.55,-730.587,459.624,1746.05,-763.045,503.529,1386.26
5,-766.667,432.093,2232.19,-760.727,770,2240.16,0,0,0,-729.718,886.935,2681.67,-717.546,1017.06,2670.08,-670.019,1192.24,2646.02,0,0,0,0,0,0,0,0,0,-780.288,68.1031,2638.05,-735.514,697.405,1370.9,-711.895,731.022,1774.3,-662.049,753.771,2234.07,-687.842,425.137,2217.7,-730.587,459.624,1746.05,-763.045,503.529,1386.26
5.03333,-766.957,432.382,2232.04,-761.306,770.145,2240.01,-768.116,731.457,2719.63,-730.297,887.369,2681.38,-718.271,1017.34,2669.64,-670.888,1192.53,2645.15,0,0,0,-734.21,278.498,2679.21,0,0,0,-780.143,68.248,2637.91,-735.514,697.405,1370.9,-712.185,731.312,1774.3,-662.919,754.061,2234.07,-688.131,425.427,2217.7,-730.587,459.769,1746.05,-763.045,503.529,1386.26
5.06667,-767.102,432.527,2232.19,-762.465,770.145,2240.45,-768.696,731.746,2719.63,-731.022,887.659,2681.24,-718.85,1017.63,2669.21,-671.758,1192.82,2644.72,0,0,0,-734.21,278.788,2679.35,-758.698,176.344,2668.34,-779.853,68.5378,2637.91,-735.514,697.405,1370.9,-712.62,731.457,1774.3,-663.498,754.351,2233.93,-688.276,425.717,2217.7,-730.587,459.769,1746.05,-763.045,503.529,1386.26
5.1,-767.247,432.527,2232.19,-762.61,770.29,2240.01,-769.131,732.036,2719.63,-731.746,887.949,2681.09,-719.72,1017.92,2669.06,-672.627,1193.11,2644.58,0,0,0,0,0,0,-758.408,176.344,2668.19,-779.708,68.8276,2637.91,-735.514,697.405,1370.76,-712.909,731.602,1774.3,-664.223,754.496,2233.93,-688.421,425.862,2217.84,-730.732,459.914,1746.19,-763.045,503.673,1386.26
5.13333,-767.392,432.672,2232.19,-763.19,770.58,2240.01,-769.855,732.326,2719.49,-732.471,888.239,2681.09,-720.444,1018.21,2669.06,-673.497,1193.4,2644.58,0,0,0,-737.832,283.135,2680.95,-758.408,176.633,2668.05,-779.564,69.1174,2637.62,-735.514,697.55,1370.76,-713.344,731.746,1774.3,-664.658,754.786,2233.93,-688.421,426.152,2217.84,-730.877,459.914,1746.34,-763.045,503.529,1386.26
5.16667,-767.537,432.817,2232.33,-763.769,770.725,2239.87,0,0,0,-733.051,888.673,2680.95,-721.169,1018.5,2668.92,-674.221,1193.69,2644.43,0,0,0,-737.832,283.425,2680.8,0,0,0,-779.419,69.4072,2637.33,-735.514,697.55,1370.76,-713.489,731.602,1774.3,-665.237,755.22,2234.07,-688.566,426.442,2217.99,-730.732,459.914,1746.48,-763.045,503.673,1386.26
5.2,-767.682,432.962,2232.33,-764.349,770.87,2239.87,-766.233,733.34,2718.62,-733.63,888.963,2680.8,-721.893,1018.79,2668.77,-674.801,1193.98,2644.29,0,0,0,-737.832,283.715,2680.66,0,0,0,-779.419,69.697,2637.19,-735.514,697.55,1370.76,-714.214,731.312,1774.01,-665.672,755.365,2234.07,-688.856,426.731,2217.99,-730.587,460.058,1746.63,-763.045,503.673,1386.26
5.23333,-767.972,433.252,2232.33,-764.784,770.87,2239.72,-763.914,736.093,2717.32,-734.21,889.253,2680.8,-722.328,1019.23,2668.63,-675.525,1194.41,2644.14,0,0,0,0,0,0,-756.814,177.793,2667.9,-779.274,69.9868,2636.75,-735.659,697.55,1370.76,-714.069,732.036,1774.3,-666.107,755.51,2234.07,-689.146,427.021,2217.99,-730.153,460.348,1746.63,-763.045,503.818,1386.26
5.26667,-768.116,433.397,2232.33,-765.218,771.014,2239.72,-764.494,736.383,2717.32,-734.644,889.543,2680.66,-722.908,1019.52,2668.48,-676.105,1194.7,2643.85,0,0,0,-736.238,281.107,2679.06,-758.408,177.938,2667.32,-779.274,70.2766,2636.46,-735.659,697.55,1370.76,-714.358,732.036,1774.3,-666.686,755.655,2234.07,-689.291,427.311,2217.99,-730.008,460.493,1746.63,-763.045,503.818,1386.41
5.3,-768.261,433.831,2232.33,-765.653,771.449,2239.72,-764.784,736.528,2717.17,-735.224,889.833,2680.51,-723.342,1019.81,2668.34,-676.539,1194.99,2643.56,0,0,0,0,0,0,0,0,0,-779.274,70.5664,2636.32,-735.659,697.695,1370.76,-714.648,732.471,1774.45,-667.121,756.09,2233.93,-689.291,427.746,2218.13,-730.297,460.638,1746.63,-763.045,503.818,1386.41
5.33333,-768.406,433.976,2232.33,-766.088,771.594,2239.58,0,0,0,-735.514,890.122,2680.51,-723.777,1020.1,2668.05,-677.119,1195.28,2643.13,0,0,0,-736.963,282.845,2679.79,0,0,0,-779.419,70.8562,2636.17,-735.659,697.695,1370.76,0,0,0,-667.556,756.09,2233.78,-689.58,428.18,2218.13,-730.442,460.783,1746.77,-763.045,503.818,1386.41
5.36667,-768.696,434.266,2232.48,-766.378,771.884,2239.58,0,0,0,-735.949,890.557,2680.37,-724.212,1020.39,2667.9,-677.554,1195.57,2642.84,0,0,0,-737.398,282.99,2679.5,0,0,0,-779.419,71.146,2636.32,-735.659,697.695,1370.76,-715.228,732.616,1774.59,-667.845,756.524,2233.93,-689.725,428.47,2218.13,-730.587,460.928,1746.77,-763.045,503.963,1386.41
